S100A8,S100A9,S100A7,KRT6A,KRT1,KRT10,KRT14,PI3,KRT16,SPRR2A,SPRR2E,DCD,MIR1977,SPRR2D,SPRR2B,DEFB4A,KRT6B,SPRR2G,KRT6C,KRTDAP,SPRR1B,KRT5,KRT2,RPLP1,CNFN,Class_label
22662.418,18406.542,15799.363,6544.537,9708.395,7485.517,16857.805,2443.966,8827.234,4829.423,5052.281,1397.398,7061.525,3201.981,3149.737,2458.6,3943.684,3435.891,3216.726,3884.328,3629.289,6863.95,1706.573,1995.176,1355.445,Disease
26606.61,21658.152,12491.165,8536.274,5048.954,6619.316,13743.716,5783.51,8084.766,7194.862,6950.84,356.928,4585.395,5155.011,5062.549,5154.031,4929.791,4073.201,4184.339,5016.576,3687.042,6333.644,861.323,2302.368,1942.924,Disease
28638.871,25334.859,17735.82,4866.286,14304.418,11838.146,12147.495,10548.028,6177.39,6858.058,7122.918,1004.726,5949.474,5065.841,4913.575,5613.642,2248.487,3396.076,1933.241,5952.078,2503.111,6488.712,1191.064,2450.751,2174.854,Disease
26291.726,17139.1775,19029.8845,3753.991,12859.23,12292.96,7465.3075,8090.287,3310.0395,3798.599,4013.325,46.757,5068.1585,2632.5405,2428.599,1007.754,2062.028,1941.2735,1403.149,7563.131,1814.9895,5417.262,395.4455,1774.3315,1479.3255,Disease
26254.463,20077.449,16438.77,6966.238,14246.175,14221.322,12691.687,6338.17,7284.637,5498.963,5729.66,845.677,4752.407,3817.513,3556.562,3807.642,4396.169,3274.479,3334.859,4644.93,3075.279,5881.576,2057.314,1460.023,1702.945,Disease
20798.087,14495.477,18604.076,6726.591,5246.514,13496.275,6330.676,7282.754,3473.97,6877.393,6552.305,105.676,3218.062,4732.752,4233.689,2566.747,3731.65,4206.658,2762.476,5903.563,3097.158,4498.903,185.751,1297.372,1210.745,Disease
20923.521,13481.999,13755.539,5975.815,7048.711,10203.063,6975.867,5233.614,4669.499,6461.073,4254.645,1631.897,6889.555,4941.718,4325.613,6861.747,3129.839,3939.554,2486.571,3625.124,1994.156,4871.295,772.777,1062.651,1335.389,Disease
20300.482,18638.522,21657.387,6208.953,11537.712,11456.746,8019.32,6079.012,4935.674,8910.821,8140.79,291.103,1793.943,7017.89,6172.031,1675.818,3045.135,5059.081,2397.809,7213.004,2729.699,5653.079,1336.058,2062.295,2086.28,Disease
29590.923,16879.864,14196.74,6471.945,7514.411,10526.896,8694.223,6268.149,6196.888,4539.486,4939.485,4097.609,9914.068,3224.563,2719.783,8053.089,3644.02,2735.923,2700.884,4242.316,2523.35,3730.543,517.648,980.456,1072.054,Disease
12030.703,18706.873,12006.182,10137.355,7405.587,7638.733,12507.391,5976.218,7713.271,6795.155,6625.455,693.626,5719.87,5377.997,4868.358,1554.726,6424.198,3215.181,5608.554,5136.767,3485.902,7016.178,137.804,2657.667,2472.341,Disease
